	sfsN_d	sfsN_a	sfsN	sfsS
0	57135	13	57148	65992
1	20658	8	20666	31809
2	11251	5	11256	20358
3	7458	7	7465	14897
4	5572	3	5575	11585
5	4250	1	4251	9341
6	3415	3	3418	7914
7	2922	2	2924	6890
8	2362	0	2362	5914
9	1994	1	1995	5074
10	1687	2	1689	4609
11	1514	2	1516	4090
12	1337	2	1339	3765
13	1211	0	1211	3502
14	1114	3	1117	3231
15	949	0	949	2939
16	957	1	958	2757
17	881	1	882	2563
18	801	1	802	2377
19	686	0	686	2214
20	686	1	687	2025
21	601	1	602	1941
22	606	1	607	1906
23	555	2	557	1846
24	512	0	512	1716
25	508	0	508	1633
26	431	2	433	1568
27	451	0	451	1452
28	406	0	406	1378
29	351	0	351	1284
30	340	0	340	1317
31	373	1	374	1223
32	338	0	338	1173
33	299	0	299	1139
34	309	2	311	1148
35	283	0	283	1041
36	292	0	292	1039
37	270	0	270	957
38	240	0	240	916
39	248	0	248	925
40	239	0	239	871
41	206	0	206	843
42	227	0	227	816
43	202	0	202	829
44	164	0	164	750
45	189	1	190	740
46	159	0	159	669
47	200	0	200	691
48	186	0	186	675
49	175	0	175	657
50	179	0	179	659
51	204	0	204	680
52	146	1	147	602
53	146	0	146	604
54	145	0	145	597
55	147	0	147	551
56	146	0	146	539
57	124	0	124	520
58	164	0	164	528
59	130	0	130	551
60	129	0	129	512
61	143	0	143	483
62	139	0	139	497
63	125	0	125	458
64	124	0	124	481
65	117	0	117	476
66	113	1	114	481
67	97	1	98	413
68	103	0	103	428
69	106	0	106	393
70	110	0	110	444
71	88	1	89	439
72	93	0	93	379
73	95	0	95	401
74	91	0	91	378
75	87	0	87	406
76	78	0	78	389
77	101	0	101	373
78	95	0	95	352
79	87	0	87	399
80	95	0	95	361
81	73	0	73	377
82	84	0	84	345
83	80	0	80	363
84	87	1	88	368
85	85	1	86	345
86	50	1	51	290
87	75	0	75	325
88	80	0	80	366
89	57	0	57	276
90	68	0	68	283
91	73	1	74	313
92	71	1	72	306
93	61	0	61	293
94	73	0	73	272
95	58	0	58	283
96	69	0	69	299
97	62	0	62	253
98	59	0	59	311
99	45	1	46	271
100	66	0	66	313
101	68	1	69	264
102	69	1	70	283
103	61	1	62	262
104	58	0	58	266
105	54	0	54	259
106	68	1	69	252
107	57	0	57	249
108	55	0	55	270
109	49	0	49	249
110	59	0	59	263
111	51	1	52	264
112	66	0	66	252
113	56	1	57	237
114	54	1	55	252
115	61	0	61	234
116	63	0	63	224
117	52	0	52	236
118	40	0	40	234
119	53	0	53	247
120	63	0	63	257
121	49	0	49	236
122	51	0	51	252
123	53	1	54	202
124	54	0	54	210
125	59	1	60	222
126	46	0	46	243
127	50	1	51	203
128	41	1	42	252
129	54	1	55	210
130	49	0	49	193
131	49	1	50	206
132	40	0	40	241
133	49	1	50	206
134	51	1	52	201
135	49	1	50	182
136	42	0	42	203
137	48	1	49	224
138	41	1	42	211
139	45	0	45	199
140	50	1	51	206
141	49	1	50	199
142	46	0	46	214
143	38	1	39	216
144	57	0	57	185
145	37	0	37	200
146	38	1	39	211
147	47	0	47	224
148	51	1	52	169
149	45	1	46	215
150	36	0	36	171
151	35	0	35	179
152	35	0	35	182
153	48	0	48	187
154	41	0	41	169
155	52	1	53	193
156	28	0	28	164
157	41	0	41	191
158	45	0	45	182
159	35	0	35	185
160	42	3	45	205
161	51	0	51	205
162	40	1	41	176
163	32	0	32	195
164	42	2	44	192
165	41	0	41	181
166	41	1	42	170
167	32	0	32	180
168	40	0	40	202
169	42	0	42	200
170	41	2	43	183
171	38	0	38	197
172	46	0	46	165
173	35	0	35	188
174	58	1	59	235
175	36	0	36	215
176	42	0	42	196
177	32	1	33	156
178	39	0	39	175
179	41	2	43	218
180	56	0	56	196
181	48	1	49	186
182	53	0	53	182
183	37	0	37	153
184	44	2	46	209
185	33	2	35	203
186	51	0	51	203
187	39	2	41	186
188	40	1	41	193
189	47	0	47	189
190	51	0	51	226
191	37	2	39	224
192	44	0	44	229
193	54	4	58	228
194	45	2	47	236
195	45	3	48	241
196	55	5	60	255
197	40	10	50	260
198	58	11	69	261
199	45	31	76	296