	sfsN_d	sfsN_a	sfsN	sfsS
0	51191	136	51327	55190
1	16042	83	16125	22850
2	7917	59	7976	12947
3	4691	33	4724	8312
4	3008	29	3037	5956
5	2204	23	2227	4409
6	1664	13	1677	3377
7	1281	19	1300	2801
8	952	17	969	2206
9	810	20	830	1871
10	640	12	652	1558
11	564	9	573	1393
12	449	15	464	1102
13	418	12	430	982
14	348	7	355	900
15	292	16	308	780
16	267	4	271	668
17	239	5	244	612
18	214	3	217	519
19	199	5	204	478
20	198	12	210	435
21	158	5	163	403
22	157	6	163	397
23	153	6	159	320
24	101	6	107	322
25	86	3	89	304
26	112	5	117	303
27	109	8	117	280
28	83	7	90	230
29	94	8	102	226
30	94	9	103	219
31	75	8	83	180
32	81	4	85	209
33	64	6	70	164
34	58	9	67	169
35	59	5	64	162
36	54	5	59	158
37	60	6	66	137
38	49	4	53	136
39	42	3	45	147
40	50	6	56	156
41	44	2	46	109
42	47	4	51	135
43	48	7	55	110
44	40	1	41	106
45	39	5	44	106
46	32	2	34	104
47	38	4	42	126
48	43	5	48	87
49	42	5	47	88
50	37	2	39	100
51	39	1	40	88
52	39	5	44	92
53	31	2	33	102
54	27	5	32	75
55	30	2	32	63
56	29	5	34	80
57	21	1	22	56
58	24	3	27	78
59	20	4	24	68
60	26	5	31	63
61	28	7	35	57
62	24	3	27	77
63	20	3	23	65
64	21	4	25	66
65	24	4	28	63
66	23	4	27	44
67	21	6	27	75
68	25	3	28	49
69	10	4	14	62
70	13	5	18	60
71	16	3	19	74
72	24	6	30	60
73	23	3	26	50
74	22	4	26	51
75	16	5	21	50
76	23	4	27	57
77	16	1	17	60
78	16	4	20	46
79	24	3	27	45
80	20	4	24	48
81	25	4	29	52
82	18	2	20	54
83	13	3	16	44
84	22	4	26	42
85	25	3	28	49
86	10	3	13	47
87	20	5	25	54
88	10	5	15	30
89	13	3	16	46
90	15	2	17	46
91	18	2	20	35
92	13	2	15	31
93	18	3	21	43
94	16	4	20	35
95	14	3	17	38
96	19	3	22	35
97	14	0	14	55
98	13	2	15	31
99	18	5	23	31
100	21	2	23	31
101	15	2	17	33
102	13	1	14	36
103	18	7	25	38
104	11	3	14	34
105	15	2	17	31
106	12	2	14	48
107	10	1	11	39
108	14	2	16	29
109	13	4	17	38
110	16	3	19	33
111	7	1	8	33
112	13	1	14	48
113	20	3	23	40
114	13	6	19	39
115	11	7	18	46
116	9	1	10	34
117	14	4	18	31
118	18	2	20	35
119	17	3	20	46
120	11	3	14	33
121	14	3	17	25
122	10	4	14	32
123	9	2	11	33
124	16	4	20	33
125	13	2	15	32
126	9	6	15	38
127	13	4	17	29
128	9	3	12	28
129	9	2	11	41
130	17	5	22	30
131	16	3	19	31
132	10	0	10	30
133	14	5	19	35
134	7	6	13	33
135	9	6	15	36
136	13	1	14	37
137	13	3	16	38
138	9	2	11	32
139	9	3	12	33
140	16	7	23	40
141	10	2	12	32
142	11	5	16	34
143	12	3	15	36
144	12	1	13	33
145	11	2	13	39
146	11	2	13	39
147	13	3	16	34
148	16	7	23	38
149	18	4	22	43
150	14	6	20	25
151	14	3	17	35
152	7	4	11	34
153	9	4	13	44
154	15	1	16	45
155	13	8	21	34
156	12	4	16	33
157	14	6	20	37
158	14	3	17	39
159	10	8	18	39
160	14	1	15	34
161	16	4	20	31
162	13	8	21	33
163	10	7	17	42
164	13	4	17	50
165	11	3	14	37
166	11	12	23	42
167	12	2	14	45
168	13	6	19	34
169	10	3	13	41
170	10	6	16	43
171	16	4	20	38
172	16	6	22	48
173	10	8	18	32
174	10	11	21	45
175	19	11	30	46
176	12	9	21	42
177	13	8	21	45
178	20	11	31	35
179	17	12	29	38
180	13	9	22	51
181	12	8	20	58
182	17	12	29	39
183	18	13	31	59
184	14	9	23	65
185	13	14	27	52
186	20	5	25	47
187	30	13	43	64
188	15	13	28	62
189	22	15	37	53
190	30	24	54	91
191	32	35	67	68
192	43	18	61	79
193	29	26	55	80
194	36	31	67	83
195	34	45	79	92
196	49	56	105	109
197	34	60	94	126
198	52	119	171	158
199	54	221	275	218
