	sfsN_d	sfsN_a	sfsN	sfsS
0	58162	19	58181	67953
1	21262	7	21269	33327
2	12333	4	12337	22047
3	8382	4	8386	16817
4	6129	2	6131	13181
5	4763	4	4767	10906
6	3861	2	3863	9269
7	3241	1	3242	7963
8	2735	2	2737	7194
9	2391	1	2392	6480
10	2108	0	2108	5924
11	1953	0	1953	5508
12	1733	1	1734	4853
13	1524	0	1524	4699
14	1358	2	1360	4239
15	1240	1	1241	4062
16	1244	2	1246	3683
17	1157	1	1158	3522
18	993	1	994	3466
19	978	0	978	3035
20	893	1	894	2883
21	952	1	953	2932
22	839	0	839	2703
23	748	2	750	2646
24	756	0	756	2533
25	687	0	687	2413
26	604	0	604	2252
27	637	1	638	2259
28	644	1	645	2146
29	537	0	537	2076
30	529	1	530	2004
31	529	0	529	1934
32	521	0	521	1846
33	493	0	493	1903
34	427	0	427	1825
35	457	0	457	1714
36	438	0	438	1754
37	438	0	438	1665
38	387	0	387	1521
39	386	0	386	1614
40	409	0	409	1499
41	391	0	391	1427
42	334	0	334	1473
43	340	1	341	1414
44	347	0	347	1360
45	326	0	326	1358
46	312	0	312	1311
47	290	0	290	1283
48	326	1	327	1263
49	280	2	282	1216
50	339	0	339	1179
51	288	0	288	1152
52	292	0	292	1201
53	281	1	282	1156
54	255	0	255	1140
55	298	0	298	1116
56	257	0	257	1069
57	253	2	255	1043
58	221	0	221	1058
59	262	0	262	1077
60	263	0	263	994
61	242	0	242	972
62	214	0	214	1028
63	201	0	201	986
64	208	0	208	943
65	213	0	213	921
66	227	0	227	937
67	188	1	189	887
68	200	0	200	864
69	177	1	178	844
70	171	0	171	834
71	189	0	189	878
72	186	0	186	828
73	163	1	164	796
74	196	0	196	830
75	177	0	177	718
76	159	0	159	812
77	162	0	162	746
78	166	1	167	767
79	162	1	163	694
80	162	0	162	758
81	151	1	152	687
82	170	0	170	737
83	139	1	140	733
84	164	0	164	660
85	143	1	144	721
86	134	0	134	674
87	130	0	130	735
88	134	1	135	646
89	133	1	134	645
90	146	0	146	670
91	165	0	165	647
92	116	0	116	696
93	135	0	135	650
94	133	0	133	626
95	140	0	140	643
96	97	0	97	609
97	150	0	150	622
98	105	0	105	604
99	129	0	129	602
100	133	1	134	597
101	109	0	109	591
102	115	0	115	639
103	141	0	141	588
104	119	0	119	611
105	107	1	108	549
106	106	0	106	569
107	109	0	109	538
108	112	0	112	559
109	111	0	111	545
110	110	0	110	526
111	118	0	118	561
112	120	0	120	535
113	102	0	102	516
114	99	0	99	517
115	89	0	89	571
116	102	0	102	525
117	115	0	115	517
118	90	0	90	502
119	85	0	85	482
120	92	0	92	511
121	94	0	94	520
122	95	0	95	498
123	86	1	87	440
124	95	1	96	496
125	99	0	99	481
126	95	0	95	510
127	89	0	89	485
128	85	0	85	474
129	77	0	77	442
130	94	0	94	499
131	95	1	96	458
132	82	0	82	457
133	86	0	86	470
134	97	0	97	447
135	87	0	87	428
136	100	0	100	474
137	70	0	70	421
138	92	0	92	481
139	96	0	96	439
140	82	0	82	448
141	68	0	68	414
142	87	0	87	460
143	98	0	98	456
144	76	0	76	419
145	63	1	64	411
146	76	0	76	396
147	68	0	68	401
148	76	0	76	380
149	61	0	61	429
150	96	0	96	354
151	68	0	68	422
152	84	0	84	365
153	88	0	88	373
154	67	1	68	389
155	87	0	87	371
156	66	1	67	383
157	69	0	69	386
158	93	0	93	406
159	82	1	83	410
160	67	0	67	395
161	72	2	74	377
162	67	0	67	373
163	71	3	74	368
164	66	1	67	400
165	62	0	62	381
166	63	0	63	333
167	53	0	53	352
168	75	1	76	338
169	57	0	57	367
170	57	0	57	337
171	57	0	57	340
172	61	0	61	356
173	63	0	63	339
174	59	0	59	369
175	66	1	67	343
176	63	1	64	357
177	66	0	66	377
178	46	0	46	303
179	56	0	56	321
180	59	2	61	363
181	55	0	55	358
182	61	1	62	355
183	55	0	55	331
184	67	0	67	331
185	69	1	70	320
186	55	0	55	324
187	51	0	51	337
188	64	0	64	322
189	59	1	60	337
190	55	1	56	330
191	59	1	60	336
192	67	2	69	345
193	52	1	53	311
194	54	1	55	333
195	52	3	55	351
196	58	2	60	376
197	63	2	65	324
198	55	2	57	326
199	63	7	70	347
