	sfsN_d	sfsN_a	sfsN	sfsS
0	57965	132	58097	67436
1	21580	61	21641	33388
2	12160	39	12199	21758
3	8088	37	8125	16126
4	5964	23	5987	12705
5	4672	15	4687	10398
6	3732	11	3743	8739
7	3063	18	3081	7596
8	2679	11	2690	6805
9	2260	23	2283	6157
10	1936	10	1946	5428
11	1750	17	1767	5119
12	1633	5	1638	4604
13	1427	12	1439	4166
14	1286	7	1293	3908
15	1194	13	1207	3588
16	1046	13	1059	3483
17	1067	8	1075	3235
18	928	9	937	2925
19	837	4	841	2772
20	820	4	824	2570
21	745	10	755	2478
22	717	6	723	2362
23	641	8	649	2401
24	687	4	691	2119
25	563	5	568	2100
26	565	1	566	2034
27	536	7	543	1834
28	529	4	533	1880
29	502	6	508	1726
30	471	6	477	1754
31	435	9	444	1683
32	403	6	409	1596
33	438	4	442	1606
34	403	5	408	1504
35	410	7	417	1377
36	370	5	375	1392
37	368	5	373	1351
38	345	3	348	1294
39	312	0	312	1256
40	309	4	313	1268
41	320	3	323	1253
42	322	0	322	1251
43	300	3	303	1171
44	262	3	265	1101
45	264	5	269	1122
46	291	3	294	1009
47	260	2	262	979
48	232	4	236	1018
49	242	3	245	1012
50	216	6	222	934
51	206	5	211	905
52	229	2	231	892
53	208	3	211	979
54	217	7	224	860
55	200	5	205	857
56	198	2	200	809
57	200	5	205	835
58	189	2	191	786
59	181	3	184	735
60	167	5	172	803
61	163	4	167	795
62	179	4	183	840
63	201	4	205	750
64	144	4	148	711
65	166	3	169	651
66	148	4	152	696
67	164	1	165	704
68	151	2	153	674
69	144	7	151	687
70	141	0	141	675
71	140	2	142	639
72	144	1	145	592
73	138	4	142	625
74	129	4	133	558
75	145	3	148	607
76	144	5	149	590
77	155	4	159	583
78	120	2	122	575
79	152	1	153	554
80	117	2	119	546
81	118	2	120	569
82	103	1	104	600
83	105	4	109	534
84	120	1	121	542
85	104	5	109	533
86	118	4	122	490
87	109	3	112	489
88	127	3	130	514
89	113	0	113	454
90	105	3	108	527
91	114	2	116	532
92	110	1	111	451
93	89	3	92	449
94	106	3	109	484
95	100	1	101	440
96	94	5	99	439
97	104	0	104	461
98	83	5	88	425
99	103	2	105	457
100	85	2	87	411
101	110	1	111	424
102	94	4	98	382
103	105	2	107	392
104	105	2	107	463
105	76	3	79	384
106	104	3	107	421
107	74	4	78	464
108	76	3	79	397
109	85	0	85	375
110	64	5	69	386
111	88	3	91	377
112	76	2	78	349
113	83	4	87	362
114	82	4	86	354
115	65	3	68	392
116	89	2	91	346
117	73	4	77	367
118	69	2	71	343
119	82	4	86	354
120	71	3	74	355
121	82	4	86	363
122	58	1	59	339
123	70	1	71	344
124	51	2	53	364
125	70	4	74	349
126	57	4	61	310
127	71	2	73	352
128	76	2	78	364
129	52	4	56	329
130	65	5	70	295
131	73	2	75	324
132	50	10	60	328
133	74	2	76	302
134	47	6	53	315
135	84	2	86	319
136	64	3	67	296
137	65	4	69	280
138	54	4	58	327
139	59	3	62	324
140	54	8	62	266
141	71	2	73	334
142	64	4	68	300
143	65	10	75	299
144	53	3	56	314
145	68	2	70	317
146	65	5	70	289
147	57	1	58	247
148	64	2	66	304
149	56	6	62	317
150	54	6	60	304
151	38	5	43	278
152	63	0	63	275
153	49	1	50	262
154	66	4	70	283
155	52	6	58	304
156	56	3	59	293
157	55	2	57	262
158	56	3	59	271
159	48	10	58	278
160	48	3	51	274
161	60	5	65	246
162	58	8	66	304
163	47	5	52	265
164	57	3	60	261
165	51	1	52	275
166	57	5	62	296
167	51	2	53	297
168	64	6	70	247
169	51	4	55	250
170	42	9	51	260
171	52	3	55	280
172	56	2	58	245
173	61	2	63	285
174	56	5	61	273
175	66	6	72	243
176	48	10	58	257
177	54	4	58	276
178	41	5	46	290
179	36	7	43	262
180	44	7	51	270
181	44	7	51	257
182	39	5	44	235
183	53	4	57	234
184	53	10	63	264
185	61	10	71	248
186	40	14	54	265
187	50	16	66	275
188	61	16	77	265
189	58	13	71	282
190	37	12	49	270
191	53	9	62	278
192	58	15	73	257
193	49	20	69	287
194	66	25	91	289
195	45	24	69	286
196	63	30	93	290
197	61	38	99	286
198	58	56	114	336
199	54	48	102	293
