	sfsN_d	sfsN_a	sfsN	sfsS
0	58142	13	58155	68798
1	21687	3	21690	33762
2	12166	9	12175	22307
3	8230	0	8230	16478
4	6139	4	6143	13195
5	4693	0	4693	11246
6	3746	1	3747	9178
7	3273	1	3274	8159
8	2856	2	2858	7170
9	2405	2	2407	6565
10	2156	0	2156	5970
11	1937	0	1937	5404
12	1735	2	1737	4994
13	1665	1	1666	4536
14	1416	0	1416	4254
15	1326	1	1327	3950
16	1232	0	1232	3661
17	1094	1	1095	3555
18	1040	0	1040	3347
19	920	2	922	3223
20	942	0	942	3054
21	868	1	869	2909
22	818	0	818	2745
23	763	1	764	2634
24	760	0	760	2541
25	674	0	674	2529
26	660	0	660	2297
27	617	0	617	2261
28	576	1	577	2221
29	557	2	559	2111
30	604	0	604	1966
31	531	2	533	1981
32	513	0	513	1885
33	485	1	486	1817
34	445	1	446	1853
35	473	1	474	1767
36	475	0	475	1723
37	434	0	434	1667
38	425	0	425	1650
39	417	0	417	1657
40	380	1	381	1628
41	381	0	381	1525
42	387	1	388	1455
43	356	1	357	1369
44	324	0	324	1399
45	312	1	313	1358
46	373	1	374	1284
47	328	1	329	1338
48	342	0	342	1324
49	301	0	301	1297
50	308	0	308	1243
51	287	2	289	1179
52	305	0	305	1215
53	300	1	301	1191
54	266	0	266	1143
55	285	1	286	1121
56	284	0	284	1071
57	289	1	290	1109
58	294	0	294	1102
59	265	0	265	1048
60	257	0	257	1063
61	226	0	226	1049
62	216	0	216	1013
63	214	0	214	1018
64	215	0	215	952
65	253	1	254	985
66	209	0	209	958
67	231	0	231	945
68	205	1	206	853
69	196	2	198	828
70	173	0	173	895
71	207	0	207	874
72	203	1	204	901
73	191	0	191	832
74	175	0	175	829
75	196	0	196	842
76	173	0	173	779
77	175	0	175	808
78	159	0	159	758
79	189	0	189	766
80	180	0	180	781
81	164	0	164	754
82	150	0	150	773
83	159	0	159	721
84	150	0	150	743
85	154	0	154	726
86	155	1	156	654
87	137	0	137	646
88	130	0	130	707
89	157	0	157	703
90	132	0	132	713
91	147	0	147	678
92	132	1	133	668
93	134	0	134	663
94	145	0	145	652
95	145	0	145	681
96	140	0	140	613
97	122	1	123	625
98	145	0	145	603
99	130	0	130	603
100	119	0	119	604
101	122	0	122	605
102	130	0	130	598
103	107	0	107	564
104	127	0	127	612
105	135	0	135	610
106	121	2	123	602
107	126	1	127	574
108	109	0	109	581
109	104	1	105	579
110	97	0	97	553
111	128	0	128	570
112	123	0	123	541
113	108	1	109	556
114	104	0	104	503
115	111	0	111	549
116	105	1	106	524
117	101	0	101	570
118	99	0	99	482
119	108	0	108	492
120	75	0	75	526
121	87	0	87	505
122	109	0	109	512
123	108	0	108	482
124	92	1	93	498
125	96	0	96	489
126	88	0	88	499
127	98	0	98	489
128	90	0	90	518
129	74	1	75	459
130	102	0	102	473
131	86	0	86	493
132	92	0	92	500
133	115	0	115	462
134	76	0	76	471
135	83	0	83	470
136	79	0	79	488
137	86	0	86	476
138	81	0	81	476
139	88	0	88	443
140	97	0	97	426
141	100	2	102	472
142	67	0	67	414
143	88	2	90	452
144	85	1	86	401
145	80	1	81	426
146	103	1	104	468
147	80	0	80	412
148	63	0	63	415
149	100	0	100	450
150	67	0	67	460
151	88	0	88	435
152	70	0	70	455
153	70	0	70	372
154	76	0	76	372
155	65	1	66	367
156	82	0	82	343
157	80	0	80	408
158	80	0	80	435
159	56	1	57	367
160	70	0	70	394
161	66	1	67	366
162	74	1	75	360
163	67	1	68	404
164	71	0	71	372
165	80	2	82	344
166	60	0	60	354
167	84	0	84	339
168	60	0	60	378
169	64	0	64	393
170	71	0	71	386
171	65	0	65	371
172	57	0	57	375
173	58	0	58	350
174	62	4	66	375
175	62	1	63	325
176	77	0	77	387
177	56	0	56	336
178	78	0	78	368
179	62	0	62	347
180	52	0	52	330
181	73	0	73	372
182	59	2	61	358
183	64	2	66	312
184	71	2	73	332
185	64	0	64	363
186	63	0	63	334
187	56	0	56	354
188	57	1	58	349
189	44	1	45	337
190	42	0	42	329
191	65	2	67	381
192	57	1	58	379
193	76	0	76	363
194	56	0	56	340
195	57	0	57	319
196	48	0	48	311
197	67	2	69	347
198	53	1	54	338
199	55	1	56	342
