	sfsN_d	sfsN_a	sfsN	sfsS
0	57511	1389	58900	67824
1	21552	697	22249	33273
2	12085	421	12506	22454
3	8166	328	8494	16547
4	6005	288	6293	13162
5	4759	239	4998	10969
6	3898	195	4093	9388
7	3315	172	3487	8194
8	2656	150	2806	7142
9	2353	148	2501	6589
10	2077	144	2221	5813
11	1891	126	2017	5550
12	1656	102	1758	4773
13	1536	105	1641	4577
14	1430	84	1514	4277
15	1252	87	1339	3924
16	1180	107	1287	3534
17	1076	83	1159	3559
18	1047	80	1127	3345
19	915	80	995	3278
20	831	70	901	3042
21	799	74	873	2816
22	769	65	834	2643
23	730	63	793	2640
24	714	57	771	2528
25	656	55	711	2333
26	654	65	719	2263
27	608	45	653	2124
28	565	53	618	2129
29	554	62	616	2032
30	494	52	546	1915
31	492	33	525	1858
32	486	44	530	1813
33	467	57	524	1722
34	453	46	499	1774
35	434	44	478	1681
36	393	42	435	1625
37	401	54	455	1565
38	381	48	429	1590
39	363	45	408	1505
40	379	53	432	1488
41	366	40	406	1426
42	303	42	345	1409
43	346	34	380	1370
44	343	36	379	1306
45	335	41	376	1303
46	320	41	361	1204
47	317	30	347	1212
48	271	34	305	1170
49	321	38	359	1223
50	292	39	331	1142
51	271	34	305	1113
52	237	33	270	1113
53	229	29	258	1037
54	245	34	279	1108
55	225	33	258	1032
56	247	35	282	1090
57	232	31	263	982
58	224	33	257	998
59	212	43	255	944
60	212	32	244	957
61	213	33	246	900
62	212	26	238	832
63	173	28	201	850
64	206	36	242	893
65	186	31	217	901
66	202	27	229	862
67	220	32	252	856
68	179	32	211	779
69	197	35	232	796
70	179	29	208	837
71	158	29	187	814
72	147	31	178	784
73	191	27	218	796
74	188	29	217	719
75	160	25	185	769
76	178	33	211	721
77	153	35	188	752
78	140	40	180	694
79	136	25	161	701
80	142	28	170	723
81	153	41	194	674
82	140	18	158	692
83	148	25	173	677
84	141	25	166	688
85	161	22	183	703
86	149	25	174	660
87	140	26	166	618
88	157	38	195	593
89	150	33	183	658
90	130	24	154	560
91	143	29	172	624
92	144	30	174	573
93	125	26	151	593
94	112	23	135	522
95	115	27	142	583
96	129	29	158	585
97	129	24	153	582
98	138	26	164	583
99	133	23	156	569
100	103	24	127	532
101	107	23	130	550
102	116	29	145	549
103	116	23	139	588
104	105	38	143	525
105	96	30	126	562
106	104	30	134	520
107	104	19	123	502
108	96	29	125	497
109	98	29	127	478
110	89	28	117	529
111	112	22	134	489
112	84	24	108	501
113	103	14	117	541
114	110	26	136	475
115	87	30	117	472
116	95	30	125	519
117	103	24	127	460
118	91	27	118	479
119	91	22	113	471
120	107	22	129	445
121	91	36	127	497
122	96	30	126	480
123	98	22	120	451
124	80	19	99	456
125	96	24	120	402
126	90	28	118	404
127	97	25	122	436
128	80	28	108	434
129	77	29	106	423
130	70	32	102	407
131	82	21	103	441
132	75	32	107	410
133	73	25	98	429
134	76	28	104	382
135	76	28	104	402
136	88	31	119	413
137	79	28	107	398
138	88	19	107	393
139	69	27	96	404
140	84	22	106	363
141	66	33	99	352
142	75	20	95	401
143	93	32	125	424
144	64	27	91	405
145	59	28	87	405
146	75	25	100	441
147	78	29	107	368
148	69	27	96	359
149	74	32	106	371
150	71	23	94	370
151	67	32	99	372
152	70	29	99	387
153	71	40	111	363
154	66	28	94	402
155	65	21	86	346
156	64	35	99	376
157	72	33	105	356
158	67	32	99	326
159	70	34	104	349
160	71	35	106	343
161	66	26	92	369
162	78	34	112	380
163	71	25	96	346
164	52	37	89	372
165	59	33	92	356
166	58	29	87	356
167	69	22	91	336
168	59	34	93	331
169	57	32	89	341
170	53	37	90	352
171	55	32	87	331
172	60	30	90	350
173	63	43	106	323
174	43	36	79	310
175	65	33	98	335
176	64	41	105	336
177	58	24	82	357
178	58	37	95	368
179	62	45	107	355
180	66	45	111	355
181	56	58	114	354
182	62	57	119	361
183	49	32	81	326
184	70	51	121	301
185	65	35	100	358
186	55	41	96	347
187	60	46	106	324
188	58	44	102	346
189	56	46	102	330
190	59	37	96	308
191	68	53	121	392
192	46	34	80	274
193	61	44	105	327
194	59	47	106	318
195	74	50	124	359
196	52	45	97	314
197	69	50	119	344
198	65	60	125	355
199	57	47	104	351
