	sfsN_d	sfsN_a	sfsN	sfsS
0	58015	14	58029	67347
1	21246	12	21258	33264
2	11951	1	11952	21510
3	7808	3	7811	15837
4	5993	1	5994	12616
5	4706	4	4710	10334
6	3712	3	3715	8647
7	3036	2	3038	7567
8	2574	2	2576	6802
9	2312	3	2315	5813
10	2021	1	2022	5474
11	1790	1	1791	4817
12	1565	3	1568	4415
13	1406	0	1406	4232
14	1289	3	1292	3770
15	1113	0	1113	3511
16	1086	0	1086	3334
17	1058	1	1059	3172
18	943	1	944	2975
19	841	0	841	2805
20	780	0	780	2644
21	742	1	743	2480
22	699	0	699	2378
23	685	0	685	2221
24	675	0	675	2110
25	667	0	667	2069
26	571	0	571	2003
27	563	0	563	1893
28	472	0	472	1886
29	477	0	477	1785
30	490	1	491	1658
31	432	0	432	1642
32	436	2	438	1630
33	474	0	474	1547
34	395	0	395	1435
35	384	0	384	1392
36	353	0	353	1358
37	335	0	335	1291
38	345	0	345	1314
39	356	1	357	1298
40	296	0	296	1245
41	309	0	309	1236
42	323	1	324	1159
43	280	0	280	1169
44	264	0	264	1094
45	284	1	285	1156
46	279	0	279	1056
47	256	0	256	1010
48	264	0	264	992
49	215	0	215	955
50	237	0	237	888
51	199	0	199	973
52	223	0	223	993
53	212	0	212	926
54	202	0	202	912
55	202	0	202	876
56	193	0	193	845
57	195	1	196	781
58	208	0	208	825
59	177	0	177	782
60	186	0	186	746
61	181	2	183	740
62	182	1	183	728
63	164	0	164	687
64	146	1	147	738
65	163	1	164	700
66	151	0	151	687
67	150	0	150	680
68	155	0	155	707
69	160	0	160	673
70	140	0	140	592
71	152	1	153	635
72	130	0	130	687
73	167	1	168	628
74	150	1	151	620
75	136	0	136	607
76	134	0	134	658
77	128	1	129	607
78	135	1	136	590
79	133	1	134	582
80	101	0	101	597
81	135	0	135	537
82	114	0	114	542
83	119	0	119	520
84	134	1	135	520
85	102	0	102	535
86	93	0	93	532
87	121	0	121	497
88	109	1	110	497
89	104	0	104	510
90	110	0	110	508
91	96	0	96	494
92	111	0	111	515
93	80	0	80	484
94	111	0	111	485
95	104	0	104	470
96	94	0	94	457
97	112	0	112	494
98	91	0	91	473
99	84	0	84	446
100	87	0	87	454
101	71	0	71	433
102	91	0	91	430
103	97	0	97	465
104	83	0	83	417
105	90	0	90	425
106	80	1	81	412
107	110	0	110	432
108	94	0	94	454
109	79	1	80	442
110	73	1	74	422
111	83	0	83	363
112	74	0	74	429
113	75	0	75	386
114	73	0	73	394
115	84	1	85	404
116	84	0	84	413
117	78	1	79	415
118	78	0	78	357
119	82	0	82	361
120	65	0	65	342
121	82	0	82	365
122	77	0	77	360
123	87	0	87	334
124	68	0	68	346
125	69	1	70	365
126	63	0	63	363
127	60	0	60	358
128	68	2	70	326
129	62	0	62	333
130	87	1	88	331
131	57	0	57	371
132	52	0	52	304
133	63	1	64	353
134	78	1	79	302
135	65	0	65	324
136	62	0	62	319
137	53	1	54	315
138	75	0	75	304
139	53	0	53	322
140	69	0	69	318
141	46	0	46	283
142	71	0	71	296
143	53	1	54	293
144	64	2	66	339
145	55	0	55	328
146	56	0	56	308
147	63	0	63	292
148	65	0	65	306
149	54	0	54	296
150	51	1	52	274
151	69	0	69	296
152	62	1	63	290
153	63	0	63	303
154	70	0	70	261
155	54	0	54	314
156	47	0	47	291
157	64	0	64	283
158	47	1	48	257
159	48	0	48	292
160	56	0	56	254
161	45	0	45	258
162	51	1	52	270
163	45	1	46	271
164	42	0	42	248
165	41	0	41	256
166	52	1	53	239
167	53	0	53	241
168	42	0	42	266
169	62	1	63	278
170	51	0	51	284
171	51	0	51	246
172	49	0	49	253
173	52	0	52	254
174	58	1	59	237
175	47	1	48	259
176	45	0	45	261
177	48	0	48	276
178	43	0	43	263
179	51	1	52	252
180	50	2	52	273
181	41	1	42	231
182	49	1	50	247
183	48	0	48	274
184	63	1	64	273
185	50	0	50	269
186	46	1	47	252
187	55	1	56	271
188	58	0	58	272
189	59	1	60	241
190	45	2	47	257
191	46	2	48	262
192	54	1	55	278
193	47	3	50	289
194	54	3	57	292
195	60	1	61	298
196	44	2	46	250
197	60	9	69	314
198	42	5	47	297
199	82	23	105	338
