	sfsN_d	sfsN_a	sfsN	sfsS
0	55229	144	55373	62561
1	19272	84	19356	28068
2	10048	51	10099	17300
3	6365	24	6389	12227
4	4464	31	4495	9191
5	3354	17	3371	7237
6	2646	22	2668	5838
7	2069	22	2091	4781
8	1661	15	1676	4029
9	1379	14	1393	3455
10	1246	19	1265	3113
11	1055	17	1072	2758
12	939	16	955	2468
13	848	7	855	2120
14	712	11	723	1973
15	669	13	682	1781
16	619	10	629	1596
17	556	9	565	1462
18	479	14	493	1358
19	439	16	455	1300
20	409	6	415	1208
21	349	6	355	1073
22	321	5	326	1030
23	324	4	328	948
24	326	6	332	913
25	261	8	269	872
26	259	2	261	796
27	264	7	271	757
28	254	5	259	689
29	214	6	220	645
30	207	8	215	631
31	202	3	205	597
32	155	5	160	610
33	191	3	194	539
34	146	7	153	517
35	165	3	168	497
36	160	3	163	488
37	133	2	135	414
38	127	3	130	434
39	135	7	142	411
40	119	4	123	401
41	105	5	110	370
42	118	3	121	364
43	115	6	121	348
44	106	2	108	343
45	107	6	113	326
46	89	3	92	318
47	108	6	114	290
48	93	3	96	288
49	87	6	93	313
50	76	2	78	277
51	87	5	92	300
52	80	2	82	265
53	77	4	81	269
54	83	6	89	235
55	57	2	59	291
56	70	1	71	275
57	69	2	71	244
58	52	1	53	235
59	57	3	60	260
60	60	1	61	210
61	71	3	74	198
62	57	3	60	219
63	62	3	65	214
64	48	5	53	204
65	52	4	56	204
66	44	3	47	200
67	53	6	59	168
68	41	5	46	176
69	47	4	51	170
70	31	4	35	160
71	37	1	38	173
72	45	5	50	157
73	51	1	52	143
74	42	4	46	184
75	38	4	42	141
76	35	3	38	167
77	45	2	47	154
78	46	4	50	147
79	31	2	33	144
80	42	0	42	151
81	37	3	40	145
82	37	3	40	150
83	38	3	41	128
84	45	4	49	118
85	39	2	41	134
86	42	1	43	139
87	34	1	35	116
88	30	3	33	129
89	34	4	38	115
90	31	4	35	118
91	37	2	39	127
92	35	6	41	114
93	29	2	31	126
94	42	5	47	112
95	32	3	35	114
96	33	1	34	115
97	24	3	27	123
98	19	3	22	93
99	37	1	38	110
100	24	5	29	132
101	30	3	33	91
102	27	1	28	92
103	22	4	26	113
104	21	4	25	95
105	21	4	25	96
106	19	3	22	101
107	38	1	39	100
108	21	2	23	94
109	26	3	29	101
110	30	1	31	110
111	21	3	24	104
112	24	4	28	90
113	26	3	29	97
114	29	3	32	104
115	29	2	31	85
116	26	3	29	87
117	23	1	24	83
118	16	3	19	80
119	33	1	34	95
120	24	2	26	87
121	25	2	27	78
122	26	2	28	80
123	33	5	38	97
124	28	2	30	84
125	15	3	18	77
126	32	3	35	91
127	23	5	28	85
128	23	7	30	81
129	32	1	33	72
130	23	3	26	90
131	22	5	27	91
132	16	3	19	76
133	23	6	29	85
134	13	3	16	86
135	21	8	29	66
136	23	0	23	86
137	26	4	30	76
138	23	5	28	60
139	12	6	18	81
140	18	4	22	97
141	27	7	34	74
142	16	3	19	85
143	19	3	22	63
144	24	3	27	74
145	20	3	23	86
146	23	1	24	63
147	20	2	22	79
148	19	4	23	89
149	18	1	19	72
150	20	4	24	78
151	17	7	24	72
152	20	1	21	64
153	17	2	19	86
154	23	6	29	78
155	13	5	18	79
156	15	1	16	83
157	22	5	27	77
158	28	4	32	71
159	13	4	17	79
160	20	9	29	81
161	19	9	28	62
162	25	3	28	100
163	19	4	23	83
164	23	8	31	84
165	29	3	32	70
166	21	4	25	90
167	20	5	25	80
168	25	7	32	89
169	32	7	39	87
170	21	5	26	67
171	30	3	33	79
172	31	7	38	83
173	19	6	25	81
174	13	4	17	77
175	19	4	23	91
176	25	2	27	86
177	21	6	27	90
178	29	6	35	82
179	25	11	36	105
180	23	9	32	94
181	24	11	35	86
182	32	9	41	86
183	29	12	41	100
184	39	21	60	100
185	32	18	50	102
186	29	13	42	112
187	34	9	43	119
188	25	14	39	106
189	26	14	40	124
190	35	16	51	119
191	43	15	58	119
192	46	32	78	135
193	44	20	64	129
194	28	41	69	122
195	34	33	67	140
196	44	41	85	163
197	58	58	116	195
198	59	100	159	233
199	63	155	218	267
