	sfsN_d	sfsN_a	sfsN	sfsS
0	58161	11	58172	68148
1	21389	6	21395	33493
2	12539	9	12548	22335
3	8195	2	8197	16480
4	6176	4	6180	13294
5	4778	0	4778	11117
6	3727	2	3729	9401
7	3283	1	3284	8322
8	2742	4	2746	7313
9	2409	2	2411	6472
10	2159	2	2161	6056
11	1972	2	1974	5493
12	1663	3	1666	4996
13	1591	3	1594	4604
14	1471	1	1472	4298
15	1313	0	1313	4128
16	1168	1	1169	3874
17	1195	1	1196	3562
18	1005	2	1007	3238
19	932	1	933	3332
20	953	1	954	3021
21	926	1	927	2917
22	865	1	866	2719
23	754	0	754	2612
24	738	2	740	2575
25	670	1	671	2525
26	648	2	650	2353
27	599	0	599	2275
28	583	0	583	2124
29	566	2	568	2078
30	561	0	561	1990
31	535	0	535	1902
32	489	0	489	1881
33	461	1	462	1800
34	448	1	449	1860
35	444	0	444	1717
36	436	0	436	1681
37	423	0	423	1662
38	421	1	422	1613
39	345	0	345	1550
40	378	2	380	1524
41	415	2	417	1474
42	356	1	357	1531
43	318	0	318	1437
44	340	1	341	1383
45	326	0	326	1352
46	328	1	329	1331
47	278	0	278	1350
48	286	1	287	1183
49	276	1	277	1274
50	281	0	281	1257
51	258	0	258	1219
52	271	0	271	1208
53	290	0	290	1135
54	281	0	281	1168
55	245	1	246	1124
56	237	0	237	1053
57	205	0	205	1042
58	229	0	229	989
59	244	0	244	1003
60	244	2	246	1001
61	253	0	253	998
62	220	1	221	1060
63	215	0	215	924
64	194	0	194	975
65	204	0	204	919
66	219	0	219	945
67	200	0	200	881
68	213	0	213	882
69	214	0	214	960
70	197	0	197	853
71	185	1	186	868
72	192	0	192	869
73	204	0	204	840
74	178	0	178	804
75	184	0	184	844
76	188	0	188	814
77	160	0	160	749
78	171	0	171	762
79	171	1	172	762
80	172	0	172	792
81	178	0	178	759
82	151	0	151	773
83	156	0	156	739
84	150	1	151	740
85	163	0	163	705
86	159	1	160	691
87	151	0	151	679
88	160	0	160	734
89	143	0	143	669
90	150	0	150	674
91	135	0	135	668
92	140	0	140	663
93	112	0	112	662
94	128	0	128	620
95	138	0	138	663
96	132	0	132	603
97	115	0	115	631
98	124	0	124	637
99	135	0	135	571
100	126	0	126	603
101	117	0	117	579
102	120	0	120	616
103	119	0	119	575
104	107	0	107	603
105	99	0	99	601
106	121	1	122	554
107	109	1	110	584
108	123	0	123	563
109	114	0	114	551
110	125	2	127	619
111	116	1	117	541
112	104	0	104	551
113	95	0	95	554
114	101	0	101	536
115	91	0	91	554
116	100	0	100	514
117	106	2	108	488
118	98	0	98	510
119	114	0	114	521
120	102	1	103	528
121	90	0	90	484
122	105	0	105	516
123	110	1	111	503
124	121	0	121	508
125	86	0	86	477
126	76	1	77	461
127	98	0	98	478
128	81	0	81	519
129	107	0	107	490
130	90	0	90	492
131	95	0	95	463
132	93	0	93	473
133	85	0	85	447
134	101	0	101	471
135	93	1	94	429
136	84	0	84	447
137	75	0	75	454
138	86	2	88	446
139	87	0	87	444
140	86	1	87	485
141	76	1	77	458
142	83	0	83	467
143	75	0	75	441
144	69	0	69	409
145	79	0	79	416
146	64	0	64	436
147	81	0	81	426
148	66	1	67	440
149	80	0	80	404
150	71	0	71	392
151	85	0	85	399
152	70	0	70	412
153	54	0	54	409
154	75	0	75	350
155	73	0	73	396
156	70	2	72	428
157	70	1	71	391
158	75	0	75	425
159	66	1	67	383
160	72	0	72	434
161	73	1	74	382
162	77	0	77	374
163	61	0	61	361
164	60	0	60	423
165	83	0	83	387
166	63	1	64	325
167	67	0	67	417
168	75	2	77	368
169	80	0	80	359
170	64	1	65	376
171	63	0	63	351
172	71	0	71	362
173	52	0	52	352
174	75	0	75	366
175	64	0	64	343
176	70	1	71	331
177	68	0	68	384
178	67	0	67	338
179	45	1	46	360
180	59	0	59	359
181	79	1	80	331
182	62	0	62	391
183	59	3	62	317
184	60	2	62	342
185	59	0	59	338
186	67	1	68	352
187	54	0	54	353
188	68	1	69	303
189	55	3	58	327
190	55	2	57	294
191	51	1	52	348
192	51	0	51	305
193	57	1	58	320
194	61	1	62	302
195	59	1	60	363
196	58	0	58	315
197	60	1	61	309
198	64	4	68	338
199	65	4	69	340
