	sfsN_d	sfsN_a	sfsN	sfsS
0	58180	132	58312	68025
1	21526	56	21582	33366
2	12280	60	12340	22221
3	8148	26	8174	16365
4	6032	34	6066	12942
5	4849	20	4869	11069
6	3771	22	3793	9417
7	3198	15	3213	7995
8	2778	17	2795	7064
9	2332	14	2346	6353
10	2135	15	2150	5903
11	1937	18	1955	5302
12	1688	6	1694	4845
13	1478	10	1488	4382
14	1403	9	1412	4205
15	1334	9	1343	3856
16	1200	3	1203	3527
17	1135	6	1141	3546
18	1067	6	1073	3239
19	935	7	942	3020
20	851	8	859	2855
21	827	9	836	2794
22	791	11	802	2678
23	699	4	703	2612
24	731	6	737	2409
25	699	7	706	2308
26	639	3	642	2307
27	610	2	612	2156
28	586	4	590	2084
29	566	3	569	2063
30	566	5	571	2016
31	481	2	483	1797
32	473	7	480	1721
33	489	3	492	1808
34	443	5	448	1711
35	448	8	456	1658
36	416	5	421	1645
37	389	3	392	1486
38	371	6	377	1471
39	386	4	390	1515
40	358	1	359	1379
41	334	2	336	1367
42	316	1	317	1364
43	305	3	308	1276
44	313	2	315	1321
45	290	5	295	1264
46	307	3	310	1200
47	269	5	274	1164
48	301	4	305	1158
49	273	4	277	1118
50	286	1	287	1131
51	253	2	255	1174
52	266	2	268	1129
53	250	4	254	1061
54	186	2	188	1015
55	248	1	249	994
56	211	3	214	981
57	231	2	233	962
58	219	5	224	950
59	218	3	221	927
60	221	2	223	955
61	192	2	194	931
62	211	1	212	860
63	206	1	207	885
64	192	4	196	834
65	193	1	194	864
66	204	5	209	839
67	206	6	212	805
68	163	3	166	800
69	181	1	182	820
70	164	2	166	800
71	187	2	189	851
72	164	3	167	727
73	158	5	163	748
74	173	2	175	777
75	153	8	161	726
76	171	1	172	667
77	151	3	154	739
78	157	0	157	650
79	146	1	147	639
80	145	3	148	650
81	158	2	160	641
82	136	3	139	628
83	124	2	126	635
84	145	5	150	637
85	132	2	134	628
86	145	4	149	637
87	147	4	151	648
88	130	3	133	617
89	129	0	129	641
90	125	1	126	563
91	144	9	153	597
92	115	2	117	584
93	94	0	94	620
94	106	2	108	556
95	116	2	118	541
96	115	1	116	505
97	104	0	104	582
98	115	1	116	536
99	112	2	114	608
100	112	5	117	550
101	115	7	122	533
102	97	3	100	531
103	112	2	114	489
104	110	6	116	499
105	102	6	108	490
106	96	1	97	504
107	85	5	90	535
108	108	1	109	536
109	100	2	102	454
110	86	5	91	513
111	97	3	100	468
112	107	3	110	487
113	110	3	113	496
114	84	5	89	477
115	95	0	95	477
116	89	3	92	478
117	79	1	80	484
118	112	4	116	469
119	89	5	94	453
120	94	7	101	458
121	87	4	91	469
122	80	8	88	426
123	87	2	89	425
124	85	1	86	449
125	88	3	91	423
126	96	4	100	442
127	75	2	77	406
128	88	3	91	431
129	87	5	92	398
130	73	2	75	401
131	89	5	94	411
132	78	4	82	429
133	79	4	83	373
134	76	5	81	401
135	59	2	61	413
136	63	2	65	398
137	81	3	84	406
138	82	3	85	373
139	68	1	69	413
140	80	1	81	354
141	91	4	95	400
142	82	4	86	361
143	63	2	65	346
144	70	4	74	383
145	69	0	69	386
146	88	5	93	354
147	85	1	86	306
148	76	5	81	384
149	79	5	84	361
150	74	3	77	378
151	74	7	81	358
152	70	5	75	353
153	71	1	72	326
154	84	4	88	344
155	80	3	83	347
156	57	9	66	328
157	67	2	69	351
158	62	7	69	344
159	71	6	77	375
160	65	3	68	352
161	78	1	79	328
162	65	5	70	309
163	69	7	76	311
164	59	4	63	330
165	60	9	69	337
166	58	10	68	384
167	63	2	65	345
168	67	4	71	332
169	65	8	73	347
170	61	6	67	358
171	57	8	65	330
172	56	3	59	328
173	69	6	75	336
174	68	8	76	294
175	53	5	58	355
176	63	5	68	314
177	79	4	83	351
178	64	6	70	310
179	48	5	53	282
180	56	8	64	350
181	41	11	52	291
182	68	8	76	329
183	68	12	80	350
184	68	12	80	343
185	53	12	65	316
186	55	8	63	335
187	63	14	77	299
188	59	12	71	284
189	56	12	68	353
190	44	15	59	326
191	64	14	78	292
192	54	12	66	306
193	59	11	70	294
194	63	20	83	339
195	53	21	74	277
196	69	23	92	325
197	65	24	89	296
198	60	25	85	338
199	76	25	101	350
